Time,Altitude,Airspeed,Roll,Pitch,Yaw,Rudder,AoS
16.494,8.37,9.81,0.02,-0.77,5.05,-0.03375,4.84
16.554,8.41,9.78,0.02,-0.77,5.05,-0.03375,4.84
16.616,8.43,9.75,0.02,-0.77,5.05,-0.0675,4.84
16.682,8.43,9.76,0.02,-0.77,5.05,-0.03375,4.93
16.742,8.41,9.7,0.02,-0.76,5.05,-0.0675,5.01
16.803,8.38,9.68,0.02,-0.72,5.05,-0.03375,5.01
16.863,8.41,9.7,0.02,-0.66,5.05,-0.0675,5.01
16.923,8.4,9.68,0.02,-0.61,5.05,-0.03375,5.1
16.982,8.33,9.71,0.02,-0.57,5.05,-0.10125,5.01
17.042,8.35,9.7,0.02,-0.56,5.05,-0.03375,5.54
17.102,8.37,9.72,0.02,-0.55,5.05,-0.0675,5.63
17.162,8.32,9.66,0.02,-0.55,5.05,-0.0675,5.72
17.221,8.31,9.75,0.03,-0.54,5.05,-0.03375,6.6
17.281,8.25,9.68,0.03,-0.51,5.05,-0.03375,6.33
17.341,8.27,9.68,0.02,-0.5,5.05,-0.10125,6.24
17.4,8.27,9.66,0.01,-0.48,5.05,-0.10125,6.16
17.458,8.2,9.68,0.01,-0.45,5.05,-0.0675,5.98
17.52,8.14,9.69,-0.03,-0.43,5.05,-0.0675,5.8
17.58,8.17,9.7,-0.07,-0.39,5.05,-0.03375,5.72
17.64,8.21,9.64,-0.13,-0.37,5.05,-0.03375,5.72
17.7,8.16,9.6,-0.19,-0.37,5.05,-0.03375,5.98
17.76,8.13,9.53,-0.24,-0.37,5.04,-0.0675,5.98
17.82,8.1,9.59,-0.29,-0.37,5.04,-0.10125,6.16
17.88,8.08,9.55,-0.34,-0.37,5.04,-0.03375,6.33
17.94,8.11,9.52,-0.4,-0.37,5.04,-0.03375,6.68
18,8.06,9.55,-0.45,-0.37,5.04,-0.03375,6.51
18.06,7.97,9.58,-0.51,-0.37,5.04,-0.135,6.33
18.111,7.97,9.82,-0.55,-0.37,5.04,-0.10125,6.33
18.169,7.92,9.88,-0.58,-0.37,5.04,-0.03375,6.95
18.221,7.87,9.86,-0.62,-0.37,5.04,-0.03375,7.12
18.277,7.87,9.91,-0.64,-0.37,5.04,-0.03375,7.39
18.331,7.87,9.83,-0.66,-0.38,5.04,-0.10125,7.74
18.388,7.86,9.74,-0.66,-0.38,5.04,-0.03375,7.65
18.44,7.77,9.81,-0.66,-0.4,5.04,-0.03375,7.39
18.498,7.77,9.84,-0.66,-0.42,5.04,-0.03375,6.77
18.551,7.77,9.89,-0.66,-0.45,5.04,-0.03375,6.6
18.603,7.73,9.99,-0.66,-0.47,5.04,-0.03375,6.51
18.659,7.7,9.97,-0.66,-0.52,5.04,-0.03375,6.42
18.717,7.7,10.05,-0.66,-0.56,5.04,-0.03375,6.6
18.769,7.64,10.09,-0.66,-0.59,5.04,-0.03375,6.95
18.827,7.64,10.05,-0.66,-0.61,5.04,-0.0675,6.86
18.88,7.59,10.1,-0.66,-0.61,5.04,-0.03375,7.12
18.937,7.59,10.03,-0.66,-0.61,5.04,-0.0675,7.3
18.989,7.56,9.94,-0.63,-0.66,5.04,-0.0675,8.18
19.046,7.51,9.93,-0.6,-0.69,5.04,-0.0675,8.35
19.099,7.51,9.92,-0.55,-0.75,5.04,-0.0675,8.26
19.152,6.95,10.01,-0.53,-0.78,5.04,-0.03375,8.26
19.207,6.95,10,-0.52,-0.8,5.04,-0.10125,7.65
19.264,7.43,10.09,-0.5,-0.78,5.04,-0.0675,7.56
19.318,7.43,10.1,-0.5,-0.78,5.04,-0.03375,7.47
19.371,7.5,10.09,-0.49,-0.78,5.04,-0.03375,7.65
19.427,7.5,10.09,-0.46,-0.83,5.04,-0.0675,7.74
19.485,7.4,10.08,-0.45,-0.85,5.04,-0.03375,7.83
19.539,7.4,10.08,-0.43,-0.83,5.04,-0.03375,7.91
19.596,7.41,10.11,-0.41,-0.81,5.04,-0.03375,7.83
19.647,7.41,10.06,-0.4,-0.82,5.04,-0.03375,7.74
19.701,7.38,10.03,-0.39,-0.84,5.04,-0.10125,7.47
19.758,7.33,10.02,-0.37,-0.86,5.04,-0.03375,7.47
19.815,7.33,10.03,-0.36,-0.87,5.04,0,7.47
19.866,7.33,10.05,-0.36,-0.89,5.04,-0.0675,7.74
19.924,7.3,10.04,-0.35,-0.89,5.04,-0.10125,7.74
19.975,7.25,10.04,-0.35,-0.89,5.04,-0.03375,7.74
20.029,7.25,10,-0.35,-0.89,5.04,-0.03375,7.65
20.084,7.24,9.96,-0.34,-0.9,5.04,-0.03375,7.39
20.137,7.24,9.97,-0.33,-0.87,5.04,-0.03375,7.3
20.194,7.23,9.9,-0.32,-0.85,5.04,-0.03375,7.3
20.246,7.19,9.92,-0.3,-0.84,5.04,-0.0675,7.3
20.299,7.19,9.89,-0.3,-0.84,5.04,-0.03375,7.39
20.356,7.19,9.94,-0.29,-0.83,5.04,-0.03375,7.39
20.409,7.15,9.94,-0.27,-0.84,5.04,-0.03375,8
20.465,7.09,9.95,-0.27,-0.84,5.04,-0.03375,8.26
20.522,7.09,9.97,-0.27,-0.84,5.04,-0.03375,8.35
20.575,7.06,9.97,-0.28,-0.84,5.04,-0.0675,8.26
20.632,7.06,10.01,-0.28,-0.86,5.04,-0.0675,8.26
20.683,7.02,9.92,-0.29,-0.9,5.06,-0.03375,8.26
20.741,7.01,9.94,-0.29,-0.95,5.09,-0.10125,8.44
20.793,7.01,9.92,-0.3,-1.02,5.11,-0.10125,8.88
20.847,6.97,9.88,-0.31,-1.05,5.12,-0.0675,8.97
20.903,6.97,9.78,-0.32,-1.09,5.15,-0.0675,9.06
20.962,6.92,9.83,-0.34,-1.12,5.19,-0.03375,9.06
21.014,6.92,9.78,-0.37,-1.12,5.22,-0.03375,9.06
21.07,6.92,9.79,-0.41,-1.12,5.26,-0.03375,8.97
21.123,6.92,9.79,-0.47,-1.12,5.31,0,8.88
21.181,6.87,9.8,-0.51,-1.12,5.35,-0.0675,9.06
21.234,6.85,9.82,-0.56,-1.12,5.38,-0.0675,9.23
21.291,6.85,9.79,-0.62,-1.12,5.44,-0.10125,9.32
21.344,6.83,9.81,-0.66,-1.12,5.47,-0.03375,9.58
21.401,6.83,9.82,-0.68,-1.12,5.51,-0.03375,10.02
21.453,6.79,9.82,-0.69,-1.12,5.54,-0.03375,9.93
21.509,6.77,9.8,-0.7,-1.1,5.56,-0.0675,10.02
21.562,6.77,9.76,-0.72,-1.09,5.58,-0.10125,10.02
