Time,Latitude,Longitude,Altitude,Roll,Pitch,Yaw,AirSpeed,AoA,AoS,V_N_g,V_E_g,V_D_g,GroundSpeed
47.307,35.29556415,136.250685,1.385,-1.15,-0.32,11.19,9.26,-0.150000000000002,-0.699999999999989,2.07386286322971,8.0459882231408,0.337078651685394,8.31579555303195
48.286,35.29554415,136.25059835,0.94,-0.97,-0.44,11.18,9.38,-0.31999999999999,-1.05000000000001,2.32162789244688,7.60474456564715,0.540019286403086,7.96954934795026
49.332,35.2955225,136.25051335,0.525,-1.18,-2.6,11.2,9.74,-0.499999999999996,-2.02000000000004,2.41575959306165,7.63796625680539,0.272177419354838,8.01551642124036
50.319,35.2954967,136.2504292,0.425,-1.22,-4.8,11.22,9.41,-0.59,-0.79000000000002,3.55976456449193,8.26897799468276,-0.0748663101604282,9.00297316421399
51.316,35.295465,136.2503467,0.57,-1.38,-3.93,11.27,9.31,-0.680000000000003,0.529999999999973,3.35044867659847,6.57929775821364,-0.198915009041591,7.38594831464298
52.307,35.29543,136.2502642,0.695,-1.53,-3.58,11.27,9.08,0.819999999999997,0.089999999999975,4.36626171397286,8.31344135364216,-0.0322580645161289,9.39034552495696
53.239,35.2953967,136.25018085,0.61,-2.3,-3.37,11.23,8.76,0.470000000000002,-1.23000000000002,3.54837933279687,7.92253695792701,0.21321961620469,8.68349298058528
54.232,35.295365,136.25009915,0.345,-2.19,-5.12,10.81,8.8,0.379999999999999,-2.11000000000001,3.74302643850514,7.50640647141145,0.333333333333335,8.39449201229635
55.273,35.2953283,136.25002415,0.195,-1.82,-10.02,10.85,8.7,2.84000000000001,-3.34000000000003,4.03807070126791,5.65286228907041,-0.02729754322111,6.94705780913752
56.318,35.29529,136.24995585,0.275,-1.77,-11.28,10.88,8.66,2.05,-5.62,4.09750080919585,6.26891898303094,-0.131180625630676,7.49039828405053
57.254,35.29525335,136.24989,0.27,-2.31,-13.62,10.68,8.27,4.69,-5.97000000000003,4.37819126419448,6.20086266653674,0.150537634408602,7.59222748174021
